drop_table_id,name,rows,gear_rows,nothing,gold,consumable,gear,grades,guaranteed_secondary,scatter
20010,drops_Slime,18,8,0.0,0.0,0.8641304347826089,0.13586956521739132,1,0,0
20011,drops_Skeleton,23,9,0.0,0.0,0.9023957409050579,0.09760425909494233,2,0,0
20012,drops_Stone-Golem,20,6,0.0,0.0,0.9356025758969642,0.06439742410303587,2,0,0
20013,drops_Cyclops,25,11,0.0,0.0,0.9104744852282898,0.08952551477170995,2,0,0
20014,drops_Orc,23,9,0.0,0.0,0.9023957409050579,0.09760425909494233,1,0,0
20016,drops_Giant-Ant,19,5,0.0,0.0,0.9531396438612934,0.04686035613870665,1,0,0
20017,drops_Scorpion,23,9,0.0,0.0,0.9023957409050579,0.09760425909494233,2,0,0
20018,drops_Zombie,23,9,0.0,0.0,0.9023957409050579,0.09760425909494233,2,0,0
20022,drops_Amphis,19,5,0.0,0.0,0.9531396438612934,0.04686035613870665,1,0,0
20023,drops_Clay-Golem,20,6,0.0,0.0,0.9356025758969642,0.06439742410303587,2,0,0
20027,drops_Hellbound,25,11,0.0,0.0,0.9023957409050579,0.0976042590949423,2,0,0
20028,drops_Troll,25,11,0.0,0.0,0.9104744852282898,0.08952551477170995,2,0,0
20029,drops_Ogre,38,23,0.0,0.0,0.860994102780118,0.13900589721988207,3,0,0
20030,drops_Liche,29,15,0.0,0.0,0.9023957409050579,0.0976042590949423,3,0,0
20031,drops_Demon,21,7,0.0,0.0,0.9186991869918698,0.08130081300813008,4,0,0
20032,drops_Unicorn,21,7,0.0,0.0,0.9186991869918698,0.08130081300813008,4,0,0
20033,drops_WereWolf,38,23,0.0,0.0,0.860994102780118,0.13900589721988207,3,0,0
20048,drops_Stalker,38,23,0.0,0.0,0.860994102780118,0.13900589721988207,3,0,0
20049,drops_Hellclaw,32,17,0.0,0.0,0.8876404494382024,0.11235955056179774,5,1,0
20050,drops_Tigerworm,31,17,0.0,0.0,0.87146529562982,0.12853470437018,5,1,0
20052,drops_Gagoyle,22,7,0.0,0.0,0.9194270367054608,0.08057296329453895,4,0,0
20053,drops_Beholder,25,11,0.0,0.0,0.9104744852282898,0.08952551477170995,3,0,0
20054,drops_Dark-Elf,38,23,0.0,0.0,0.860994102780118,0.13900589721988207,3,0,0
20058,drops_Mountain-Giant,22,7,0.0,0.0,0.9361896080218777,0.06381039197812215,3,0,0
20059,drops_Ettin,23,9,0.0,0.0,0.9356025758969642,0.06439742410303587,3,0,0
20063,drops_Frost,29,15,0.0,0.0,0.9023957409050579,0.0976042590949423,3,0,0
20070,drops_Barlog,28,14,0.0,0.0,0.9270738377392888,0.07292616226071102,4,0,0
20071,drops_Rabbit,17,7,0.0,0.0,0.8720292504570382,0.12797074954296161,1,0,0
20072,drops_Cat,17,7,0.0,0.0,0.8720292504570382,0.12797074954296161,1,0,0
20075,drops_Orc-Mage,23,9,0.0,0.0,0.9023957409050578,0.09760425909494233,2,0,0
20076,drops_Giant-Frog,23,9,0.0,0.0,0.9104744852282898,0.08952551477170995,2,0,0
20077,drops_Rudolph,25,11,0.0,0.0,0.9023957409050578,0.0976042590949423,2,0,0
20078,drops_Ice-Golem,38,23,0.0,0.0,0.860994102780118,0.13900589721988207,2,0,0
20079,drops_Cannibal-Plant,25,11,0.0,0.0,0.9104744852282898,0.08952551477170995,3,0,0
20080,drops_DireBoar,25,11,0.0,0.0,0.9104744852282898,0.08952551477170995,3,0,0
20081,drops_Tentocle,23,9,0.0,0.0,0.9104744852282898,0.08952551477170995,2,0,0
20082,drops_Giant-Crayfish,25,11,0.0,0.0,0.9023957409050578,0.0976042590949423,2,0,0
20083,drops_Giant-Plant,21,7,0.0,0.0,0.9270738377392888,0.07292616226071102,3,0,0
20084,drops_Claw-Turtle,21,7,0.0,0.0,0.9270738377392888,0.07292616226071102,3,0,0
